artista,musica,tempo,data
Big L,Put It On,11139,2021-05-10 20:44:00
N.E.R.D,Rockstar,5989,2021-05-10 20:44:00
ODB,Shimmy Shimmy Ya,3578,2021-05-10 20:44:00
JAY-Z,Big Pimpin',2093,2021-05-10 20:44:00
Snoop Dogg,Signs,2806,2021-05-10 20:44:00
Wu-Tang Clan,Cream,4421,2021-05-10 20:44:00
Dr. Dre,What's The Difference,22362,2021-05-10 20:45:00
Outkast,ATLiens,3696,2021-05-10 20:45:00
JAY-Z,Otis,16510,2021-05-10 20:45:00
Jurassic 5,What's Golden,7786,2021-05-10 20:45:00
ScHoolboy Q,Collard Greens,6570,2021-05-10 20:46:00
The Notorious B.I.G.,Suicidal Thoughts - 2005 Remaster,14895,2021-05-10 20:46:00
Outkast,Crumblin' Erb,28777,2021-05-10 20:48:00
Warren G,Party We Will Throw Now!,2975,2021-05-10 20:48:00
Dr. Dre,Xxplosive,121111,2021-05-10 20:48:00
JAY-Z,No Church In The Wild,32161,2021-05-10 20:49:00
Jorge & Mateus,Paradigmas,157354,2021-05-10 23:57:00
